MAS_S,MAS_O,MAS_D,MAS_M,PD
5.61,5.02,1.9100000000000001,5.640000000000001,14
7.6,5.27,2.55,6.79,17
6.42,4.7,2.88,4.79,26
7.890000000000001,6.0,1.78,4.89,3
7.47,5.84,2.0,5.78,15
7.6899999999999995,4.26,1.51,5.86,26
5.86,4.9,2.0,7.03,1
6.96,5.41,2.0,5.76,12
7.08,5.23,2.98,4.76,11
7.640000000000001,4.39,1.81,6.18,16
5.7,4.11,1.99,7.57,14
7.140000000000001,5.4399999999999995,1.74,6.63,17
6.33,4.21,1.84,6.800000000000001,4
6.25,4.98,1.59,6.43,14
7.95,5.37,2.17,5.22,20
6.37,5.45,2.9699999999999998,7.4,1
5.57,5.4399999999999995,2.64,6.96,14
6.75,5.640000000000001,2.7800000000000002,5.44,25
6.1,5.2,2.85,4.92,18
7.390000000000001,5.82,1.76,4.69,18
6.42,5.04,1.8900000000000001,7.95,7
6.98,5.08,2.2,6.46,12
5.73,4.6,2.6100000000000003,5.12,15
7.57,4.83,2.6799999999999997,6.87,19
7.28,5.65,1.83,7.17,11
6.75,5.03,2.95,5.1,13
6.5600000000000005,4.21,2.09,7.92,25
6.4,4.14,2.8,6.55,6
7.22,4.29,2.13,7.33,27
7.859999999999999,5.97,2.7,5.8,2
5.64,4.32,2.54,7.46,7
7.33,4.92,2.67,5.87,12
5.68,4.13,2.41,5.65,16
5.56,4.97,2.58,6.17,19
5.65,5.21,1.7,7.720000000000001,23
6.09,5.96,2.2,5.57,13
7.53,4.39,2.2,7.4399999999999995,10
5.8,5.09,2.25,5.97,18
5.85,4.36,1.7,7.51,16
7.53,5.42,1.51,6.41,19
6.83,6.0,1.77,6.4,18
5.51,4.04,2.3,5.77,19
7.609999999999999,5.63,1.69,7.73,4
7.609999999999999,5.34,2.9000000000000004,7.35,11
6.74,4.97,2.12,6.37,11
6.35,4.27,2.64,7.88,26
6.46,5.92,2.76,7.17,0
6.8100000000000005,5.5600000000000005,1.85,5.01,10
5.82,5.99,1.87,5.33,18
7.2,4.11,1.6400000000000001,6.3100000000000005,23
6.58,5.11,2.73,7.83,17
6.63,5.71,2.21,5.47,14
7.79,5.25,2.42,5.1,9
5.61,4.89,2.5300000000000002,5.34,5
5.62,4.43,1.76,5.32,3
7.58,4.18,2.87,6.55,27
5.86,5.27,1.79,5.98,13
7.42,4.38,2.16,4.89,9
7.05,4.74,1.77,6.75,7
5.95,5.62,2.66,5.21,9
7.49,4.2,2.19,6.800000000000001,25
6.52,5.96,1.92,7.35,21
7.32,4.65,2.94,4.97,17
6.3,5.67,2.94,5.82,27
6.53,4.07,2.59,5.53,22
7.800000000000001,4.71,2.0300000000000002,4.98,18
6.26,5.95,2.9699999999999998,5.85,13
5.69,4.76,2.51,5.34,17
6.86,4.41,2.36,6.13,1
7.9,4.01,1.68,4.6,23
5.79,5.52,1.68,5.62,8
7.96,5.95,2.91,7.79,18
6.71,5.26,1.63,6.8100000000000005,1
6.84,4.1,1.53,7.13,13
5.97,5.7,1.7,7.13,11
7.35,4.25,2.4699999999999998,7.46,8
7.84,5.15,1.69,5.33,23
5.81,4.14,1.52,6.48,13
7.46,5.21,2.4699999999999998,5.3100000000000005,22
6.44,4.67,2.52,4.64,24
7.98,4.47,2.18,5.8,18
6.48,4.61,2.09,7.4399999999999995,5
7.7,4.16,1.52,7.45,4
7.800000000000001,5.21,2.98,4.87,9
6.83,5.75,2.42,7.470000000000001,6
5.71,4.11,1.9100000000000001,6.71,14
6.97,5.5,1.84,5.3,19
7.05,5.59,2.67,4.56,15
7.49,4.72,2.56,5.66,18
6.12,5.0,2.5300000000000002,4.76,24
5.53,4.37,1.67,7.04,2
7.3100000000000005,5.22,2.94,6.800000000000001,24
5.56,5.140000000000001,2.35,5.77,20
6.91,5.96,2.5300000000000002,6.45,15
5.98,5.1899999999999995,2.41,5.15,26
5.67,4.99,2.95,6.67,1
6.87,4.58,2.5300000000000002,6.21,18
5.64,5.79,2.76,7.68,27
7.36,5.79,1.8900000000000001,6.720000000000001,9
7.33,4.5,2.09,6.98,27
5.93,4.3,2.76,7.970000000000001,20
5.62,4.88,1.53,7.51,11
5.97,5.54,1.81,4.64,13
7.1,4.32,2.48,7.37,19
7.42,4.69,2.71,6.12,23
7.83,4.8100000000000005,2.8200000000000003,6.6,1
5.95,5.47,1.9,6.25,26
7.59,5.22,2.9699999999999998,7.550000000000001,22
6.38,4.66,2.8200000000000003,5.87,11
6.48,4.18,1.8599999999999999,7.4,0
7.55,4.84,2.19,6.890000000000001,20
5.95,5.02,1.98,6.57,14
7.2,4.64,1.79,6.720000000000001,14
6.15,4.48,1.92,5.18,10
6.6,5.54,1.58,6.890000000000001,3
7.85,4.27,2.8,7.1899999999999995,6
5.59,4.17,2.06,6.48,1
7.46,5.66,2.59,5.49,10
