,MAS_S,MAS_O,MAS_D,MAS_M,PD,METACOG
0,6.5,6.0,2.0,4.5,1.0,19.0
1,7.5,4.0,3.0,5.0,20.0,19.5
2,8.0,5.0,1.5,8.0,12.0,22.5
3,5.5,4.0,2.0,5.0,22.0,16.5
4,5.5,5.0,2.5,8.0,27.0,21.0
5,8.0,5.5,3.0,5.0,27.0,21.5
6,7.5,4.0,3.0,4.5,11.0,19.0
7,7.5,4.0,1.5,6.0,22.0,19.0
8,8.0,6.0,3.0,6.5,17.0,23.5
9,6.5,4.5,2.5,6.0,9.0,19.5
10,7.5,5.5,2.0,8.0,13.0,23.0
11,8.0,5.0,2.5,5.0,23.0,20.5
12,6.0,4.0,2.5,5.0,6.0,17.5
13,7.0,5.5,2.5,5.5,20.0,20.5
14,7.0,5.0,2.0,7.5,18.0,21.5
15,8.0,6.0,2.0,7.5,17.0,23.5
16,7.0,5.5,2.5,7.0,18.0,22.0
17,7.5,4.5,2.0,4.5,16.0,18.5
18,7.5,6.0,2.5,5.0,24.0,21.0
19,5.5,5.0,1.5,6.5,1.0,18.5
20,5.5,5.5,2.5,7.0,0.0,20.5
21,5.5,5.5,3.0,6.0,18.0,20.0
22,7.5,4.0,1.5,8.0,0.0,21.0
23,6.0,5.0,1.5,5.0,3.0,17.5
24,6.0,4.5,2.5,6.0,17.0,19.0
25,5.5,4.5,2.0,5.5,23.0,17.5
26,6.5,6.0,2.0,5.0,12.0,19.5
27,5.5,4.5,2.0,6.0,16.0,18.0
28,8.0,5.0,3.0,4.5,14.0,20.5
29,5.5,4.0,2.5,7.5,12.0,19.5
30,7.5,5.5,1.5,4.5,5.0,19.0
31,8.0,6.0,2.5,6.0,10.0,22.5
32,6.5,4.0,3.0,8.0,2.0,21.5
33,5.5,4.0,1.5,5.5,5.0,16.5
34,5.5,5.0,1.5,4.5,11.0,16.5
35,6.0,4.0,3.0,6.5,10.0,19.5
36,6.0,4.5,3.0,4.5,20.0,18.0
